Close,Date
368.65,2016-02-04 00:07:00
387.7,2016-02-05 00:07:00
386.44,2016-02-06 00:07:00
373.75,2016-02-07 00:07:00
373.18,2016-02-08 00:07:00
370.5,2016-02-09 00:07:00
373.33,2016-02-10 00:07:00
381.3,2016-02-11 00:07:00
378.63,2016-02-12 00:07:00
382.96,2016-02-13 00:07:00
394.16,2016-02-14 00:07:00
408.32,2016-02-15 00:07:00
402.0,2016-02-16 00:07:00
407.0,2016-02-17 00:07:00
415.56,2016-02-18 00:07:00
421.98,2016-02-19 00:07:00
420.6,2016-02-20 00:07:00
439.77,2016-02-21 00:07:00
440.98,2016-02-22 00:07:00
440.94,2016-02-23 00:07:00
421.2,2016-02-24 00:07:00
426.64,2016-02-25 00:07:00
424.75,2016-02-26 00:07:00
434.91,2016-02-27 00:07:00
434.36,2016-02-28 00:07:00
433.15,2016-02-29 00:07:00
